Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1836.8103373103208
FDW14,OUT017,1518.971994829581
NCN55,OUT010,1883.400770150241
FDQ58,OUT017,2575.8658507157866
FDY38,OUT027,5132.525342659218
FDH56,OUT046,1953.5763263169738
FDL48,OUT018,598.7982666235514
FDC48,OUT027,2781.3441802399343
FDN33,OUT045,1494.4542860501078
FDA36,OUT017,3086.020139335899
FDT44,OUT017,2024.952894026887
FDQ56,OUT045,1336.5165772355413
NCC54,OUT019,1874.9161142450826
FDU11,OUT049,2057.557057247985
DRL59,OUT013,911.0688514555559
FDM24,OUT049,2553.8580664775436
FDI57,OUT045,3270.4254634329045
DRC12,OUT018,2753.2956554621824
NCM42,OUT027,3184.793039924357
FDA46,OUT010,1121.2025813080413
FDA31,OUT013,2831.576126448654
NCJ31,OUT035,3887.675105469685
FDG52,OUT046,773.0799842415802
NCL19,OUT019,371.115111453121
FDS10,OUT035,3011.5091064330645
FDX22,OUT010,1447.0691835099674
NCF19,OUT035,911.0855867051325
NCE06,OUT046,2524.90232254225
DRC27,OUT046,3864.6779025475807
FDE21,OUT035,2055.8324476985663
NCR42,OUT019,-1373.4310603372805
FDX51,OUT018,2866.981914041484
NCR06,OUT018,415.74833781602774
FDU31,OUT027,4978.827867079455
FDU59,OUT017,2717.129350388175
FDR03,OUT027,4755.927728447331
FDS49,OUT027,2780.2348898425676
FDD48,OUT010,-72.38559688765793
NCF18,OUT017,3109.259772535086
NCD43,OUT027,3089.952278243528
NCD54,OUT018,1982.9449967489809
FDY19,OUT010,-6.132794619804713
NCY54,OUT017,2803.3748330125463
NCL19,OUT018,2026.3971043617007
FDP23,OUT010,1537.68590063592
FDC26,OUT013,1845.5956752508419
FDR14,OUT010,-1087.90611859567
NCS41,OUT035,3048.099626890654
FDF41,OUT035,4020.86916505285
FDU34,OUT046,1988.9210325219456
DRH11,OUT046,944.7481588483979
FDM03,OUT013,1734.9735876322266
FDS31,OUT017,3057.207632272598
FDJ20,OUT017,2130.216042620104
FDV44,OUT027,4523.065592978647
FDG02,OUT049,3132.4270813608587
FDA09,OUT013,2917.874499661504
FDT04,OUT013,648.2717038523606
FDL58,OUT019,2279.7153027806976
FDE52,OUT045,1391.1860917607705
FDW12,OUT035,2505.8988104044706
FDL51,OUT017,3505.3121908807507
NCY42,OUT027,3680.865306568875
FDR07,OUT017,1696.1313577192332
FDN40,OUT045,2331.5923235245614
FDB35,OUT027,2978.1574780066157
FDA22,OUT017,2759.8341552180973
NCL06,OUT046,4105.423492942749
FDI35,OUT013,2938.059943859864
NCW42,OUT045,3401.912456413961
NCX06,OUT049,2932.0443218320574
FDC37,OUT027,3200.1429943351386
FDZ14,OUT018,1680.6368342397882
DRG49,OUT049,3945.4356440767997
NCG06,OUT045,3947.8622791235284
DRC36,OUT045,2712.8604382877666
FDV21,OUT019,42.07745700327848
FDB53,OUT046,2326.0686572237237
DRP47,OUT019,2054.6075615637214
FDA14,OUT013,2298.3241860254916
DRC24,OUT035,2562.5462980547013
FDW21,OUT018,1391.359002548411
NCH29,OUT046,1571.3690191524602
FDU58,OUT013,3065.282992030933
FDY27,OUT017,2884.41759476588
FDV56,OUT035,1982.3006619490438
FDT59,OUT046,3665.773380298866
FDB23,OUT046,3647.3841180019617
FDR49,OUT045,714.7252715885406
FDB03,OUT010,1864.218690608821
FDN39,OUT045,2615.3049349325397
FDX02,OUT027,4932.93310755153
FDQ16,OUT027,3163.7337522393336
FDU35,OUT018,1330.8962310573588
NCT29,OUT013,1981.0017927385493
FDZ27,OUT046,767.8350560750944
FDN57,OUT017,2339.500577394189
FDA03,OUT018,2043.6637475057842
FDZ36,OUT045,2921.237236091687
NCU05,OUT013,1344.2135034087314
FDT39,OUT018,2187.647635669594
FDK60,OUT017,1710.9407504841433
FDZ25,OUT017,2874.314410540719
FDG12,OUT046,2015.3433114820468
DRB01,OUT019,1102.9068342868127
NCC43,OUT027,5363.284676417244
FDX13,OUT019,2057.8412525313934
FDM22,OUT049,1016.9016262427535
FDJ03,OUT027,2257.7556842678914
FDU14,OUT018,3618.644712150929
FDB33,OUT010,664.4668173608652
FDP27,OUT046,3012.030988454517
FDO38,OUT010,-645.2377976250202
FDE28,OUT027,5118.104839503847
FDO27,OUT035,1699.6681014222254
DRL23,OUT027,3188.668868355746
FDS28,OUT046,938.712381993279
FDX24,OUT013,1541.8806740832028
FDZ02,OUT035,1699.414243494282
FDL46,OUT045,1800.2553804605805
FDS60,OUT027,4299.404434531668
NCO06,OUT017,627.6150965039155
FDO16,OUT035,1502.6606329948145
FDC60,OUT049,1544.3491822334736
FDA48,OUT018,3196.7212803529737
FDZ36,OUT027,4452.382565969276
FDK27,OUT045,1879.552583435839
FDW23,OUT018,380.04516658032844
FDM14,OUT018,1532.738038200258
FDM14,OUT013,1811.6294902801828
FDW60,OUT018,2602.5184206362387
FDE21,OUT013,1941.3906095205602
NCM42,OUT035,1874.2714185330174
FDY59,OUT010,-385.55074384128795
DRI49,OUT049,1365.4160707445867
FDT28,OUT019,482.6080796061424
FDQ22,OUT018,393.6337334595728
FDR60,OUT049,1330.5113656031867
FDC50,OUT019,-375.5352460388235
FDV24,OUT013,2442.6198397121275
DRF48,OUT010,1057.3241734779915
FDQ47,OUT046,650.2252885210189
